Keyword,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
Car seat,variable,1555639061,,1,,visible,Grand Priest Goku Car Seat Covers,"Grand Priest Goku Car Seat Covers <br/>Constructed with high quality polyester micro-fiber fabric for maximum durability and comfort.<br/>Add style to your seats while protecting them from spills, stains, tearing, fading and more..<br/>Designed for quick and easy installation on most car and SUV bucket style seats no tools required.<br/>Elastic backing and fastening system ensures a snug and secure universal fit on most standard car and SUV seats.<br/>Dimensions approximately 53 x 20 however they will stretch to fit most bucket style seats of any car and SUV<br/>Not for use on seats with integrated airbags, seatbelts or armrests.<br/>Package includes: 2 cover set.<br/>Extremely high demand, Usually expect 2-4 weeks to arrive! More details, please kindly learn our policy.<br/>",,,taxable,,1,,,,,,,,,1,,64.95,,car seat,,,"https://pod-product.s3.amazonaws.com/front-1-3780a7b2-476e-4b9a-9a0e-58b5eadbd6f8.jpg,https://pod-product.s3.amazonaws.com/front-2-4da0ff99-eef4-466a-a90c-78f3c043589a.jpg,https://pod-product.s3.amazonaws.com/front-3-05e3dd7a-061b-4cc6-8a3d-65f572992332.jpg,https://pod-product.s3.amazonaws.com/front-4-dee9d8ab-8fa3-41d6-b51c-7329bdd108c3.jpg",,,,,,,,,,Size,Universal Fit,1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,64.95,,,,,,,,1555639061,,,,,,,Size,Universal Fit,,0,,,,,,,,
Car mats,variable,1555639061,,1,,visible,Godzilla 2018 Car Mats,"Godzilla 2018 Car Mats<br/>Add style to your car while keeping your floors clean and protected! <br/> Features a durable and easy-to-clean custom print constructed from a waterproof polyester material. <br/> Rubberized backing with black finished edges ensures a secure grip and skid-free placement. <br/> Keep your car floors protected from dirt, spills and daily wear and tear with these stylish custom printed car floor mats!",,,taxable,,1,,,,,,,,,1,,77.95,,car mats,,,"https://pod-product.s3.amazonaws.com/front-1-e72e6b61-1e69-405e-a682-6794d3140dc3.jpg,https://pod-product.s3.amazonaws.com/front-2-c7fadbd7-befb-431e-afc5-ada6fc0ecba5.jpg,https://pod-product.s3.amazonaws.com/front-3-970649de-9f43-4d66-9776-91399e7bd86d.jpg,https://pod-product.s3.amazonaws.com/front-4-fd9aab39-70b6-4703-8c67-cf94de1ae84d.jpg,https://pod-product.s3.amazonaws.com/front-5-8401dbdc-4ca8-479b-94ac-8db7f206406d.jpg",,,,,,,,,,Size,Universal Fit,1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,77.95,,,,,,,,1555639061,,,,,,,Size,Universal Fit,,0,,,,,,,,
Hoodie Blanket/Hooded Blanket,variable,1555639061,Sugar Skull Hoodie Blanket,1,,visible,Sugar Skull Hoodie Blanket,"Sugar Skull Hoodie Blanketry Light Fury Love Hooded Blanket <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,76.99,,hoodie ,,,"https://pod-product.s3.amazonaws.com/fggg-1.jpg,https://pod-product.s3.amazonaws.com/front-2-2efc8e61-ac6f-4f5c-a840-487d4d4ad428.jpg,https://pod-product.s3.amazonaws.com/front-3-5089f854-f61a-4015-8bec-0640ae5b99d7.jpg,https://pod-product.s3.amazonaws.com/front-4-5a6470ed-79f0-41ea-9173-dabb3c3bac77.jpg,https://pod-product.s3.amazonaws.com/front-5-4d432e3f-584a-4f40-b3f9-e8695b15bd3d.jpg",,,,,,,,,,Size,"youth 60""x45"",adult 60""x80""",1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,76.99,,,,,,,,1555639061,,,,,,,Size,"youth 60""x45""",,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,79.99,,,,,,,,1555639061,,,,,,,Size,"adult 60""x80""",,0,,,,,,,,
Hoodie Dress,variable,1555639061,,1,,visible,Harry Potter Hoodie Dress 1,"Harry Potter Hoodie Dress 1 <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,55.99,,hoodie ,,,"https://pod-product.s3.amazonaws.com/front-1-7e8b90f5-c3cb-421a-9deb-689511a99cdd.jpg,https://pod-product.s3.amazonaws.com/front-2-de645ae0-c2b1-402e-bda9-246aaf5a5400.jpg,https://pod-product.s3.amazonaws.com/front-3-4683b906-c033-46bd-849f-7a0f767bbba2.jpg,https://pod-product.s3.amazonaws.com/front-4-ebdd1145-5716-4949-a37a-2cfaf7552d81.jpg,https://pod-product.s3.amazonaws.com/front-5-4c535477-da42-49d2-ae1a-642d8a8ec421.jpg",,,,,,,,,,Size,"XS,S,M,L,XL,2XL",1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,1555639061,,,,,,,Size,XS,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,1555639061,,,,,,,Size,S,,0,,,,,,,,
