Keyword,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,1555639061,,,,,,,Size,M,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,1555639061,,,,,,,Size,L,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,1555639061,,,,,,,Size,XL,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,1555639061,,,,,,,Size,2XL,,0,,,,,,,,
Zip Hoodie/Zip Up Hoodie,variable,1555639061,,1,,visible,Avengers: Endgame Captain America Cosplay Zip Up Hoodie Jacket,"Avengers: Endgame Captain America Cosplay Zip Up Hoodie Jackett Zip Hoodie D1345 <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,54.99,,hoodie ,,,"https://pod-product.s3.amazonaws.com/allmoveek-ace5c9e8-34db-400a-9fa1-5fa831ea15b8.jpg,https://pod-product.s3.amazonaws.com/mockup-back-zipped-hoodie-moveek-341623f8-d74f-4645-8c6c-1521dc32a1d9.png,https://pod-product.s3.amazonaws.com/mockup-front-zipped-hoodie-moveek.png",,,,,,,,,,Size,"XS,S,M,L,XL,2XL,3XL",1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,1555639061,,,,,,,Size,XS,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,1555639061,,,,,,,Size,S,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,1555639061,,,,,,,Size,M,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,1555639061,,,,,,,Size,L,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,1555639061,,,,,,,Size,XL,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,1555639061,,,,,,,Size,2XL,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,1555639061,,,,,,,Size,3XL,,0,,,,,,,,
Hoodie,variable,1555639061,Sugar Skull Hoodie Blanket,1,,visible,Sugar Skull Hoodie Blanket,"Sugar Skull Hoodie Blankety Night Archer 3D HoodieMake Me Happy, Human Make My Head Hurt Hoodie D362 <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,49.99,,hoodie ,,,"https://pod-product.s3.amazonaws.com/fggg-1.jpg,https://pod-product.s3.amazonaws.com/front-2-2efc8e61-ac6f-4f5c-a840-487d4d4ad428.jpg,https://pod-product.s3.amazonaws.com/front-3-5089f854-f61a-4015-8bec-0640ae5b99d7.jpg,https://pod-product.s3.amazonaws.com/front-4-5a6470ed-79f0-41ea-9173-dabb3c3bac77.jpg,https://pod-product.s3.amazonaws.com/front-5-4d432e3f-584a-4f40-b3f9-e8695b15bd3d.jpg",,,,,,,,,,Size,"XS,S,M,L,XL,2XL,3XL",1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555639061,,,,,,,Size,XS,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555639061,,,,,,,Size,S,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555639061,,,,,,,Size,M,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555639061,,,,,,,Size,L,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555639061,,,,,,,Size,XL,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555639061,,,,,,,Size,2XL,,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555639061,,,,,,,Size,3XL,,0,,,,,,,,
Bedding,variable,1555639061,,1,,visible,Cunning Like A Slytherin Harry Potter New Look Bedding Set,"Cunning Like A Slytherin Harry Potter New Look Bedding Set Endgame Bedding Set<br/>Bedding set comes with one duvet cover and two pillowcases.<br/>Comforter, bed sheet and pillow inserts are not included.<br/>Features a single-sided full color print on luxurious brushed polyester fabric.<br/>Constructed with cozy yet lightweight premium materials that are soft to touch.<br/>Tie-down corners to ensure secure placement of comforter insert.<br/>Machine washable with cold water gentle cycle and mild detergent.",,,taxable,,1,,,,,,,,,1,,79.99,,bedding,,,https://pod-product.s3.amazonaws.com/m-74d429c3-4325-4378-83ff-9593c3e639de.jpg,,,,,,,,,,Style,"3PCS,4PCS",1,0,Size,"Twin,Full,Quuen,King",1,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,79.99,,,,,,,,1555639061,,,,,,,Style,3PCS,,0,Size,Twin,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,85.99,,,,,,,,1555639061,,,,,,,Style,3PCS,,0,Size,Full,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,89.99,,,,,,,,1555639061,,,,,,,Style,3PCS,,0,Size,Queen,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,95.99,,,,,,,,1555639061,,,,,,,Style,3PCS,,0,Size,King,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,89.99,,,,,,,,1555639061,,,,,,,Style,4PCS,,0,Size,Twin,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,99.99,,,,,,,,1555639061,,,,,,,Style,4PCS,,0,Size,Full,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,105.99,,,,,,,,1555639061,,,,,,,Style,4PCS,,0,Size,Queen,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,109.99,,,,,,,,1555639061,,,,,,,Style,4PCS,,0,Size,King,,0,,,,
