Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
variable,1555691126,Avengers Endgame Bedding Set,1,,visible,Avengers Endgame Bedding Set,"Avengers Endgame Bedding Set <br/>Bedding set comes with one duvet cover and two pillowcases.<br/>Comforter, bed sheet and pillow inserts are not included.<br/>Features a single-sided full color print on luxurious brushed polyester fabric.<br/>Constructed with cozy yet lightweight premium materials that are soft to touch.<br/>Tie-down corners to ensure secure placement of comforter insert.<br/>Machine washable with cold water gentle cycle and mild detergent.",,,taxable,,1,,,,,,,,,1,,79.99,,bedding,,,"https://pod-product.s3.amazonaws.com/012000x13000-6-4-mc.jpg,https://pod-product.s3.amazonaws.com/artt1799291.jpg,https://pod-product.s3.amazonaws.com/arts1799291.jpg,https://pod-product.s3.amazonaws.com/artk1799291.jpg",,,,,,,,,,Style,"3PCS,4PCS",1,0,Size,"Twin,Full,Quuen,King",1,0,,,,
variation,,Avengers Endgame Bedding Set,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,79.99,,,,,,,,1555691126,,,,,,,Style,3PCS,,0,Size,Twin,,0,,,,
variation,,Avengers Endgame Bedding Set,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,85.99,,,,,,,,1555691126,,,,,,,Style,3PCS,,0,Size,Full,,0,,,,
variation,,Avengers Endgame Bedding Set,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,89.99,,,,,,,,1555691126,,,,,,,Style,3PCS,,0,Size,Queen,,0,,,,
variation,,Avengers Endgame Bedding Set,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,95.99,,,,,,,,1555691126,,,,,,,Style,3PCS,,0,Size,King,,0,,,,
variation,,Avengers Endgame Bedding Set,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,89.99,,,,,,,,1555691126,,,,,,,Style,4PCS,,0,Size,Twin,,0,,,,
variation,,Avengers Endgame Bedding Set,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,99.99,,,,,,,,1555691126,,,,,,,Style,4PCS,,0,Size,Full,,0,,,,
variation,,Avengers Endgame Bedding Set,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,105.99,,,,,,,,1555691126,,,,,,,Style,4PCS,,0,Size,Queen,,0,,,,
variation,,Avengers Endgame Bedding Set,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,109.99,,,,,,,,1555691126,,,,,,,Style,4PCS,,0,Size,King,,0,,,,
variable,1555691126,Grand Priest Goku Car Seat Covers,1,,visible,Grand Priest Goku Car Seat Covers,"Grand Priest Goku Car Seat Covers  <br/>Constructed with high quality polyester micro-fiber fabric for maximum durability and comfort.<br/>Add style to your seats while protecting them from spills, stains, tearing, fading and more..<br/>Designed for quick and easy installation on most car and SUV bucket style seats no tools required.<br/>Elastic backing and fastening system ensures a snug and secure universal fit on most standard car and SUV seats.<br/>Dimensions approximately 53 x 20 however they will stretch to fit most bucket style seats of any car and SUV<br/>Not for use on seats with integrated airbags, seatbelts or armrests.<br/>Package includes: 2 cover set.<br/>Extremely high demand, Usually expect 2-4 weeks to arrive! More details, please kindly learn our policy.<br/>",,,taxable,,1,,,,,,,,,1,,64.95,,car seat,,,"https://pod-product.s3.amazonaws.com/front-1-3780a7b2-476e-4b9a-9a0e-58b5eadbd6f8.jpg,https://pod-product.s3.amazonaws.com/front-2-4da0ff99-eef4-466a-a90c-78f3c043589a.jpg,https://pod-product.s3.amazonaws.com/front-3-05e3dd7a-061b-4cc6-8a3d-65f572992332.jpg,https://pod-product.s3.amazonaws.com/front-4-dee9d8ab-8fa3-41d6-b51c-7329bdd108c3.jpg",,,,,,,,,,Size,Universal Fit,1,0,,,,,,,,
variation,,Grand Priest Goku Car Seat Covers,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,64.95,,,,,,,,1555691126,,,,,,,Size,Universal Fit,,0,,,,,,,,
variable,1555691126,Godzilla 2018 Car Mats,1,,visible,Godzilla 2018 Car Mats,"Godzilla 2018 Car Mats <br/>Add style to your car while keeping your floors clean and protected! <br/> Features a durable and easy-to-clean custom print constructed from a waterproof polyester material. <br/> Rubberized backing with black finished edges ensures a secure grip and skid-free placement. <br/> Keep your car floors protected from dirt, spills and daily wear and tear with these stylish custom printed car floor mats!",,,taxable,,1,,,,,,,,,1,,77.95,,car mats,,,"https://pod-product.s3.amazonaws.com/front-1-e72e6b61-1e69-405e-a682-6794d3140dc3.jpg,https://pod-product.s3.amazonaws.com/front-2-c7fadbd7-befb-431e-afc5-ada6fc0ecba5.jpg,https://pod-product.s3.amazonaws.com/front-3-970649de-9f43-4d66-9776-91399e7bd86d.jpg,https://pod-product.s3.amazonaws.com/front-4-fd9aab39-70b6-4703-8c67-cf94de1ae84d.jpg,https://pod-product.s3.amazonaws.com/front-5-8401dbdc-4ca8-479b-94ac-8db7f206406d.jpg",,,,,,,,,,Size,Universal Fit,1,0,,,,,,,,
variation,,Godzilla 2018 Car Mats,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,77.95,,,,,,,,1555691126,,,,,,,Size,Universal Fit,,0,,,,,,,,
variable,1555691126,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362","Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362  <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,49.99,,hoodie ,,,"https://pod-product.s3.amazonaws.com/front-0d858bcb-cbd0-4205-9c5e-e5b190d11043.jpg,https://pod-product.s3.amazonaws.com/back-b43d30b1-57d6-428b-9b82-4db579e721c8.jpg,https://pod-product.s3.amazonaws.com/cover-0f505aa1-fc67-47ee-a49a-804c66c9840f.jpg,https://pod-product.s3.amazonaws.com/size-inch-82e41317-9108-41a3-bc92-00ae91e0ae3a.jpg,https://pod-product.s3.amazonaws.com/size-cm-c2c93c91-5665-4bda-98e7-12ac69f71b4b.jpg",,,,,,,,,,Size,"XS,S,M,L,XL,2XL,3XL",1,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555691126,,,,,,,Size,XS,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555691126,,,,,,,Size,S,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555691126,,,,,,,Size,M,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555691126,,,,,,,Size,L,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555691126,,,,,,,Size,XL,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555691126,,,,,,,Size,2XL,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,1555691126,,,,,,,Size,3XL,,0,,,,,,,,
