Keyword,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
Bedding,variable,1555513411,Cunning Like A Slytherin Harry Potter New Look Bedding Set,1,,visible,Cunning Like A Slytherin Harry Potter New Look Bedding Set,"Cunning Like A Slytherin Harry Potter New Look Bedding Set<br/>Bedding set comes with one duvet cover and two pillowcases.<br/>Comforter, bed sheet and pillow inserts are not included.<br/>Features a single-sided full color print on luxurious brushed polyester fabric.<br/>Constructed with cozy yet lightweight premium materials that are soft to touch.<br/>Tie-down corners to ensure secure placement of comforter insert.<br/>Machine washable with cold water gentle cycle and mild detergent.",,,taxable, ,1,,,,,,,,,1,,,,bedding,,,https://pod-product.s3.amazonaws.com/m-74d429c3-4325-4378-83ff-9593c3e639de.jpg,,,,,,,,,,Size,"Twin (3PCS),Full (3PCS),Queen (3PCS),King (3PCS),Twin (4PCS),Full (4PCS),Queen (4PCS),King (4PCS)",1,0,Type,"GoT Map,Book of Fire and Ice,GoT Emblems,Winter Is Here",1,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,67.99,,,,,,,1555513411,,,,,,,Size,Twin (3PCS),1,0,Type,Winter Is Here,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,70.99,,,,,,,1555513411,,,,,,,Size,Full (3PCS),1,0,Type,Winter Is Here,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,75.99,,,,,,,1555513411,,,,,,,Size,Queen (3PCS),1,0,Type,Winter Is Here,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,80.99,,,,,,,1555513411,,,,,,,Size,King (3PCS),1,0,Type,Winter Is Here,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,85.99,,,,,,,1555513411,,,,,,,Size,Twin (4PCS),1,0,Type,Winter Is Here,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,89.99,,,,,,,1555513411,,,,,,,Size,Full (4PCS),1,0,Type,Winter Is Here,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,95.99,,,,,,,1555513411,,,,,,,Size,Queen (4PCS),1,0,Type,Winter Is Here,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,100.99,,,,,,,1555513411,,,,,,,Size,King (4PCS),1,0,Type,Winter Is Here,,0,,,,
Hoodie Dress,variable,1555513411,Harry Potter Hoodie Dress 1,1,,visible,Harry Potter Hoodie Dress 1,"Harry Potter Hoodie Dress 1 <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable, ,1,,,,,,,,,1,,,,hoodie ,,,"https://pod-product.s3.amazonaws.com/front-1-7e8b90f5-c3cb-421a-9deb-689511a99cdd.jpg,https://pod-product.s3.amazonaws.com/front-2-de645ae0-c2b1-402e-bda9-246aaf5a5400.jpg,https://pod-product.s3.amazonaws.com/front-3-4683b906-c033-46bd-849f-7a0f767bbba2.jpg,https://pod-product.s3.amazonaws.com/front-4-ebdd1145-5716-4949-a37a-2cfaf7552d81.jpg,https://pod-product.s3.amazonaws.com/front-5-4c535477-da42-49d2-ae1a-642d8a8ec421.jpg",,,,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,"XS,S,M,L,XL,2XL,3XL,4XL",1,0,,,,
