Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
variable,1.56E+15,Godzilla 2018 Car Mats,1,,visible,"Add style to your car while keeping your floors clean and protected! <br/> Features a durable and easy-to-clean custom print constructed from a waterproof polyester material. <br/> Rubberized backing with black finished edges ensures a secure grip and skid-free placement. <br/> Keep your car floors protected from dirt, spills and daily wear and tear with these stylish custom printed car floor mats!",,,,taxable,,1,,,,,,,,,1,,,,car mats,,,"https://pod-product.s3.amazonaws.com/front-1-e72e6b61-1e69-405e-a682-6794d3140dc3.jpg,https://pod-product.s3.amazonaws.com/front-2-c7fadbd7-befb-431e-afc5-ada6fc0ecba5.jpg,https://pod-product.s3.amazonaws.com/front-3-970649de-9f43-4d66-9776-91399e7bd86d.jpg,https://pod-product.s3.amazonaws.com/front-4-fd9aab39-70b6-4703-8c67-cf94de1ae84d.jpg,https://pod-product.s3.amazonaws.com/front-5-8401dbdc-4ca8-479b-94ac-8db7f206406d.jpg",,,,,,,,,,Style,Front And Back Floor Mats Set Of 4 - Godzilla 2018 Car Mats,1,0,Size,Universal Fit,1,0,,,,
variation,,Godzilla 2018 Car Mats,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,77.95,,,,,,,1.56E+15,,,,,,,Style,Front And Back Floor Mats Set Of 4 - Godzilla 2018 Car Mats,,0,Size,Universal Fit,,0,,,,
variable,1.55E+15,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,"Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,,taxable,,1,,,,,,,,,1,,,,hoodie ,,,"https://pod-product.s3.amazonaws.com/front-0d858bcb-cbd0-4205-9c5e-e5b190d11043.jpg,https://pod-product.s3.amazonaws.com/back-b43d30b1-57d6-428b-9b82-4db579e721c8.jpg,https://pod-product.s3.amazonaws.com/cover-0f505aa1-fc67-47ee-a49a-804c66c9840f.jpg,https://pod-product.s3.amazonaws.com/size-inch-82e41317-9108-41a3-bc92-00ae91e0ae3a.jpg,https://pod-product.s3.amazonaws.com/size-cm-c2c93c91-5665-4bda-98e7-12ac69f71b4b.jpg",,,,,,,,,,Size,"XXS,XS,S,M,L,XL,2XL,3XL,4XL",1,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1.55E+15,,,,,,,Size,XXS,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1.55E+15,,,,,,,Size,XS,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,50.95,,,,,,,1.55E+15,,,,,,,Size,S,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,50.95,,,,,,,1.55E+15,,,,,,,Size,M,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,51.95,,,,,,,1.55E+15,,,,,,,Size,L,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,51.95,,,,,,,1.55E+15,,,,,,,Size,XL,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,52.95,,,,,,,1.55E+15,,,,,,,Size,2XL,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,52.95,,,,,,,1.55E+15,,,,,,,Size,3XL,,0,,,,,,,,
variation,,"Turtles Make Me Happy, Human Make My Head Hurt Hoodie D362",1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,53.95,,,,,,,1.55E+15,,,,,,,Size,4XL,,0,,,,,,,,
variable,1.55E+15,Peace Out Zip Hoodie D1345,1,,visible,"Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,,taxable,,1,,,,,,,,,1,,,,hoodie ,,,"https://pod-product.s3.amazonaws.com/zip-a-f660e9cf-7be7-4ab4-aa45-9528cadee2b1.jpg,https://pod-product.s3.amazonaws.com/zip-b-82b9af43-975f-4a92-8872-6faefa1380e4.jpg,https://pod-product.s3.amazonaws.com/cover-53201fe6-b0ce-4c95-b838-d35525279027.jpg,https://pod-product.s3.amazonaws.com/size-inch-926c9039-0b5e-4e21-b7c3-15743b9103df.jpg,https://pod-product.s3.amazonaws.com/size-cm-39940a64-8e70-4e88-89ea-1f65fb350188.jpg",,,,,,,,,,Size,"XXS,XS,S,M,L,XL,2XL,3XL,4XL",1,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1.55E+15,,,,,,,Size,XXS,,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1.55E+15,,,,,,,Size,XS,,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,50.95,,,,,,,1.55E+15,,,,,,,Size,S,,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,50.95,,,,,,,1.55E+15,,,,,,,Size,M,,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,51.95,,,,,,,1.55E+15,,,,,,,Size,L,,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,51.95,,,,,,,1.55E+15,,,,,,,Size,XL,,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,52.95,,,,,,,1.55E+15,,,,,,,Size,2XL,,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,52.95,,,,,,,1.55E+15,,,,,,,Size,3XL,,0,,,,,,,,
variation,,Peace Out Zip Hoodie D1345,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,53.95,,,,,,,1.55E+15,,,,,,,Size,4XL,,0,,,,,,,,
